id,transmission
"1","MANUAL"
"2","AUTOMATIC"
"3","CVT"
"4","TIPTRONIC"
"5","GEARTRONIC"
"6","SEQUENTIAL"
"7","MULTIMODE"
"8","DSG"
"9","SENTRONIC"
"10","CVT + MANUAL MODE"
"11","DCT"
"12","E-GEAR"
"13","SELESPEED"
"14","ACTIVE SELECT"
"15","EASYTRONIC"
"16","HYDRAMATIC"
"17","PDK"
"18","SST"
"19","R-TRONIC"
"20","S-TRONIC"
"21","STEPTRONIC"
"22","MULTITRONIC"
"23","SMG"
"24","F1A"
"25","Dual Clutch"
"26","F1"
"27","DIRECT DRIVE"
"28","DRIVELOGIC"
"29","QUICKSHIFT"
"30","Sport Mode"
"31","POWERSHIFT"
"32","TOUCHTRONIC"
"33","DIRECT SHIFT"
